source,reference,translation
"In the light of this information, all infections in eastern Savonia are related to the first measles infection discovered in the area in June.",Tämän tiedon valossa kaikki tulehdukset Itä - Savonia liittyivät ensimmäiset tuhkarokkotartunta havaittiin alueella kesäkuussa.,"Tämän tiedon perusteella kaikki Itä-Savossa todetut tartunnat liittyvät ensimmäiseen, alueella kesäkuussa todettuun tuhkarokkoon."
"In addition, Papua boasts timber resources worth an estimated $78 billion.",Lisäksi Papuan kehuu puuvarojen arvioidaan olevan 78 miljardia dollaria.,Lisäksi Papualla on arviolta 78 miljardin dollarin puuvarannot.
"It goes to show that through good design and increased square metreage, a flat can turn from something standard into something quite amazing.","Se osoittaa, että hyvä suunnittelu ja neliömetreikä, asunnon voi jotain normi jotain aivan ihmeellistä.","Joannen asunto on esimerkki siitä, että hyvä suunnittelu ja lisäneliöt voivat tehdä perusasunnosta poikkeuksellisen hienon."
"""I deliberately took a few weeks to make my decision, to make sure I had enough distance from the fight at Wembley Stadium"", Klitschko told in his press release.","""Jätin tarkoituksella muutaman viikon tehdä päätökseni, olin tarpeeksi etäällä taisteluista Wembley Stadium"", Klitschko kertoi tiedotteessa.","Käytin tarkoituksella muutaman viikon päätöksen tekemiseen, jotta sain riittävästi etäisyyttä Wembleyn-otteluun, Klitshko kertoi tiedotteessaan."
Republicans in Congress are pushing for a broader rewrite of the ozone rules.,Kongressin republikaanit ovat ajamassa laajempaa oRewrite.,Republikaanit ajavat kongressissa otsonisäännösten laajempaa muutosta.
The forced break inspired Lahtela to start as the head coach of Team Finland.,Että siivitti Lahtela aloittaa päävalmentaja Team Finland.,Pakollinen tauko innosti Lahtelan Suomen päävalmentajaksi.
"as long as someone makes sure that my check marks are correct at the stadium"", Arttu Pajulahti commented on his coach's possible stay at home.","Kunhan joku tekee varmasti oikein, tarkista merkit ovat stadionilla "", Arttu Pajulahti kommentoi valmentajan mahdollista jäädä kotiin.","Kunhan joku katsoo stadionilla askelmerkit kohdalleen, Arttu Pajulahti sanoi valmentajansa mahdollisesta poisjäännistä."
"Its profit was a little lower than estimated,","Tuotto oli hieman pienempi kuin arvioitu,",Tulos oli hiukan odotettua heikompi.
Absolutely no one laughs.,Kukaan ei täysin pilkkanaan.,Kukaan ei naura.
"""As it turns out it was Harrison who set up and ordered the murders,"" one FBI report concludes.","""Kuten käy ilmi oli Harrison perustaneen ja määräsi murhat"", eräs FBI:n raportissa todetaan.","”On käynyt ilmi, että Harrison tilasi ja järjesti murhat”, FBI:n selonteossa todetaan."
So it's no surprise that the largest amount of stuff seized by the TSA happens to be forbidden liquids.,"Niinpä ei ole yllätys, että suurin osa jutuista TSA takavarikoi sattuu olemaan kiellettyä nesteistä.","Ei siis ole yllätys, että suurin osa TSA:n takavarikoinneista on nesteitä."
The season opener is followed by a weekend of three World Cup starts in Ruka.,Kauden avaaja seuraa kolmen viikonlopun maailmancup käynnistyy Ruka.,Ensilumen kisojen jälkeen Rukalla olisi kolmen maailmancupkisan viikonloppu.
"""We didn't talk about making distillation legal"", says Member of Parliament Outi Mäkelä (National Coalition Party).","""Emme puhuneet siitä tehdään laillista"", kertoo tiskansanedustaja Outi Mäkelä (National Coalition Party).","Tislaamisen vapauttamisesta ei käyty keskustelua, kansanedustaja Outi Mäkelä (kok.) toteaa."
"The conversations took place, they just simply didn't take place over a phone call, they happened in person"", Sanders said.","Käytiin keskusteluja, he vain yksinkertaisesti ei sujunut, puhelun aikana tapahtui henkilö "", Sanders sanoo.","Nuo keskustelut tapahtuivat, ne eivät vain tapahtuneet puhelimessa vaan kasvotusten, Sanders perusteli."
"In the center of the room at New York's Fridman Gallery are multiple faces - white, black and brown, each bearing an almost imperceptible resemblance to one another - suspended on wires from the ceiling.","Centerin tilaa New Yorkin Fridman galleria ovat moninkertaiset kasvot - valkoista, mustaa ja ruskeaa, jokaisen pitää lähes huomaamattomia muistuta toisiaan - keskeyttää wires katto.","New Yorkissa sijaitsevassa Fridman-galleriassa on ripustettu keskelle näyttelytilaa kasvoja – valkoisia, mustia ja ruskeita kasvoja, joiden välillä voi tarkemmin katsottuna havaita yhdennäköisyyttä."
But what seeps in from the fringes can be highly instructive as to the tenor of the era we're living in.,"Mutta mitä öljyä reunat voivat olla hyvin opettavaista kuin tenori - aikakautta, jossa elämme.",Marginaaliset ilmiöt kuitenkin kertovat paljon ajan hengestä.
"Two other brothers, Mark and Luke, are no longer part of the De Lutis group of companies, with Colin saying that Mark was paid $10 million when he left the business, and Luke $26 million.","Kaksi muuta veljeä, Mark ja Luke, eivät enää ole osa De Lucis konserniin kuuluvien yhtiöiden kanssa, että markka olisi maksanut 10 miljoonaa dollaria, kun hän jätti liiketoimintaa, ja Luke 26 miljoonaa dollaria.","Perheen kaksi muuta poikaa, Mark ja Luke, eivät ole enää mukana De Lutis -konsernin liiketoiminnassa. Colinin mukaan Mark sai 10 miljoonaa dollaria ja Luke 26 miljoonaa dollaria jättäessään yhtiön."
"It was so well preserved, they were even able to determine the colour of its scaly skin was a reddish brown - and say it had something of a 'troubled past'.","Se oli niin hyvin säilyneitä, he olivat jopa värin voi määritellä sen scaly Reddish iho oli ruskea ja sanoa se oli jonkinlainen ""levoton menneisyyteen"".","Se oli säilynyt niin hyvin, että tutkijat pystyivät jopa määrittelemään, että sen suomuinen iho oli punaruskea ja sillä oli ollut ”ongelmallinen menneisyys”."
RUSADA was suspended from carrying out doping controls within Russia by WADA in November 2015 in the wake of the doping scandal.,RUSADA erotettiin Venäjän dopingvalvontaa toteuttamalla marraskuussa 2015 WADA - dopingskandaaliin.,"WADA määräsi RUSADAn lopettamaan dopingvalvonnan Venäjällä marraskuussa 2015, kun dopingskandaalin laajuus oli paljastunut."
Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,Kymmenet potilaskertomukset ovat katosta roikkuvat hankkeen huonegalleria Academy of Fine Arts.,Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.
"The building was evacuated, no injuries were reported, and there was no immediate word on the cause of the blaze.","Rakennus oli evakuoitu, ei loukkaantuneita kerrottiin, ettei aiheuta välitöntä sana roihu.","Rakennus tyhjennettiin, eikä kenenkään tiedetä loukkaantuneen. Palon syystä ei ollut käsitystä heti tapahtuman jälkeen."
"""Luigi often said to me that he never wanted the brothers to end up in court,"" she wrote.","""Luigi usein sanoi minulle, että hän ei koskaan halunnut veljekset oikeuteen"", hän kirjoitti.","”Luigi totesi usein, ettei halua veljesten päätyvän oikeuteen”, Anna kirjoittaa lausunnossaan."
US intelligence authorities examined the authenticity of the documents and forwarded them to Interpol.,Yhdysvaltain tiedusteluviranomaiset tutkivat asiakirjojen aitouden ja välitti ne Interpol.,Yhdysvaltain tiedusteluviranomaiset arvioivat paperien aitouden ja lähettivät ne eteenpäin Interpolille.
"""They didn't want to work for Oracle which didn't give a definite promise of the future of MySQL"", Widenius says.","""He eivät halua töihin Oracle, joka ei anna tarkkoja tulevaisuuden lupaus MySQL"", Widenius sanoo.","""He eivät halunneet tehdä työtä Oraclelle, joka ei antanut varmaa lupausta MySQL:n tulevaisuudesta"", Widenius muistelee."
"According to Statistics Finland, the average monthly earnings of financial and investment advisors are several thousands of euros, including fees, fringe benefits and profit-based bonuses.","Tilastokeskuksen mukaan Suomen keskimääräiset kuukausiansiot rahoitus - ja sijoitusneuvojia on useita tuhansia euroja, mukaan lukien maksut, edut ja tulosperusteiset palkkiot.","Tilastokeskuksen mukaan rahoitus- ja sijoitusneuvojat tienaavat keskimäärin kuukaudessa useita tuhansia euroja provisiot, luontoisedut ja tulospalkkiot mukaan lukien."
"Not only did she teach us to eat Thai food, but also to sit next to strangers.","Hän ei ainoastaan opettaa meitä syömään thaimaalaista ruokaa, mutta myös vieressä istuville vieraille.","Hän opetti meidät paitsi syömään thairuokaa, myös istumaan ventovieraan viereen."
"""I replaced motocross with disc golf!","""Olen korvannut motocrossia levy golfia!",Vaihdoin motocrossit frisbeegolfiin!
Monty Widenius spends half his time coding in Kauniainen to keep the internet in perfect order – his database is used by Wikipedia and Google,Monty Widenius viettää puolet ajastaan koodi Kauniainen pitää nettiä täydellisessä kunnossa - tietokantaansa käyttää Wikipedian ja Googlen,"Monty Widenius viettää puolet ajastaan koodaten, jotta netti pysyisi järjestyksessä - hänen kehittämäänsä tietokantaa käyttävät esimerkiksi Wikipedia ja Google"
"I felt bad about it for a long time.""","Minusta tuntui pahalta se pitkään "".",Se harmitti todella kauan.
"To this end, she employed Erfan Azadi of Notting Hill-based architecture and design studio Duck & Shed to exploit the 12.5ft ceilings and create a home that wasn't only a development but a place for Joanne to live.","Tästä syystä hän työskentelee Erfan Azadi Notting Hill - arkkitehtuuri - ja muotoilustudio Duck & Sed hyödyntää 12,5ft rajoja ja luoda kotiin, mutta kehitys ei ollut pelkästään Joanne paikka asua.","Hän palkkasi työhön Erfan Azadin Notting Hillissä sijaitsevasta Duck & Shed -suunnittelutoimistosta. Erfan sai tehtäväkseen hyödyntää lähes neljä metriä korkeiden huoneiden tilan ja luoda asunnon, joka ei olisi vain remontti- ja myyntikohde vaan koti."
"As well as Matic, fellow new signings Victor Lindelof and Romelu Lukaku also started the game at the Aviva Stadium as Mourinho started to shape his starting XI for the start of the season.","Matic, sekä muita uusia signings Victor Lindell ja Romelu Lukaku aloitti myös pelin Aviva Stadium kuten Mourinho alkoi muokata hänen lähtöXI kauden alusta.","Maticin lisäksi myös tulokkaat Victor Lindelof ja Romelu Lukaku olivat aloittamassa peliä Aviva-stadionilla, kun Mourinho alkoi viilata aloituskokoonpanoaan kauden alkua varten."
"She has not accepted responsibility,"" she said.","Hän ei ottanut vastuuta "", hän sanoi.","Hän ei ole ottanut teosta vastuuta”, syyttäjä jatkoi."
"Gobai says the Paniai people, like other Papuans, consider their vote to Jokowi as a ""debt"" he must repay.","Gobbi kertoo Panii muita ihmisiä, kuten papualaiset, harkita äänestävänsä ""Jokowi"" velka on maksettava takaisin.","Gobain mukaan paniailaiset, kuten muutkin papualaiset, pitävät Jokowille antamiaan ääniä ”velkana”, joka on maksettava takaisin."
"However, the event was cancelled due to logistical problems, but three fights were quickly moved to Macau.","Tapahtuma oli kuitenkin peruttu logististen ongelmien vuoksi, mutta kolme oli tappelu eteni nopeasti.","Ottelu peruttiin logististen ongelmien vuoksi, mutta kolme kamppailua saatiin pika-aikataululla Kiinan itsehallintoalueelle Macaoon."
"That was purposeful, too, as is everything in the exhibition, down to the height (5""2, Manning's stature) at which her genetic haplogroups were written in pencil.","Se oli tarkoituksenmukaista, kuten kaikki näyttelyt, alas korkeus ""(5-2, Manning '), jossa hänen perintöhaploryhmistä oli kirjoitettu lyijykynällä.","Se on tarkoituksellista, kuten kaikki muukin tässä näyttelyssä: esimerkiksi Manningin DNA-jakso on kirjoitettu lyijykynällä korkeudelle, joka on sama kuin hänen pituutensa (157,5 cm)."
"Manninen and Petter Kukkonen, head coach of the national team, have prepared a training and racing plan up to February.","Manninen ja Petter Kukkonen, maajoukkueen päävalmentaja on valmistanut harjoitusravit ja suunnitella jopa helmikuussa.",Manninen ja maajoukkueen päävalmentaja Petter Kukkonen ovat tehneet ensi helmikuuhun asti ulottuvan harjoitus- ja kilpailusuunnitelman.
"Their torch is meant not to light the way, but to inflame the hatreds that are their only source of power.","Torch ei ole tarkoitettu julkisuuteen, mutta vihaa lietsovat, että heidän ainoa voimanlähde.","Heidän soihtunsa ei näytä tietä vaan lietsoo vihan liekkejä, heidän ainoaa voimanlähdettään."
They've all weathered Georgia's oppressive humidity for the nearly eight hours as Brooks lead them on a pilgrimage to the grave sites of the Malcoms and Dorseys.,They 've all weathered Georgian ahdistavan kosteus lähes kahdeksan tuntia Brooks johdattaa heidät pyhiinvaelluskohteista hautaan Malcos ja Dorseys.,He ovat käyneet Brooksin opastuksella uhrien haudoilla Georgian painostavassa kosteudessa.
"The fossil is a newfound species of nodosaur, which lived midway through the Cretaceous period, between 110 million and 112 million years ago.","Fossiili on uuden lajin nodosaurus, joka eli kesken välillä liitukaudella 110-112 miljoonaa vuotta sitten.","Hiljattain löytynyt fossiili on nodosaurus, joka eli liitukauden keskivaiheilla 110–112 miljoonaa vuotta sitten."
The man was treated by paramedics.,Mies oli kohdellut ensihoitaja.,Henkilö toimitettiin ensihoidon käsiin.
"On Tuesday, Indonesian police shot at villagers in Paniai's neighboring Deiyai regency.",Indonesian poliisi ampui tiistaina kyläläisiltä Panii naapurikunnassa Deiyi.,Tiistaina Indonesian poliisi ampui kyläläisiä Paniain naapurialueella Deiyaissa.
"""We can't get to healing and reconciliation until we get justice.""","""Emme voi saada parantavaa ja sovinnon ennen kuin saamme oikeutta"".","”Emme voi toipua ja tehdä sovintoa, ennen kuin saamme oikeutta.”"
"But especially after the illegal annexation of Crimea in 2014 and the continued Russian destabilisation of eastern Ukraine, the relationship between NATO and Russia has deteriorated considerably.""","Mutta varsinkin laittoman Krimin liittämiseen Venäjään vuonna 2014 ja jatkuva epävakautta Itä - Ukrainassa, Venäjän suhde Natoon ja Venäjään on heikentynyt huomattavasti "".",Mutta etenkin Krimin laittoman liittämisen jälkeen vuonna 2014 ja Venäjän Itä-Ukrainan alueella aiheuttaman jatkuvan epävakauden vuoksi Naton suhde Venäjän kanssa on huonontunut huomattavasti.
"Even though she felt like a woman, Finnish legislation states that an individual must undergo a reassignment procedure before the gender can also be altered legally.","Vaikka hän tuntemaan itseni naiseksi, Suomen lainsäädännössä todetaan, että henkilö on läpäistävä uudelleenkäsittelyä ennen sukupuolen voi myös muuttaa laillisesti.","Hän koki olevansa nainen, mutta Suomen lain mukaan henkilön täytyy käydä läpi korjausprosessi, jotta sukupuoli voidaan korjata myös juridisesti."
There are some fine sight gags (the police pass the time watching chess on TV as Americans might football).,On hieno näky Gags (poliisi tarkkailee ajankuluissakin tv - kuten amerikkalaiset saattavat jalkapallo).,Sarjassa on joitakin hyviä visuaalisia vitsejä (poliisit viettävät aikaa katsomalla televisiosta shakkia samalla tavalla kuin amerikkalaiset katsovat jalkapalloa).
The 30 portraits were created by the artist Heather Dewey-Hagborg from cheek swabs and hair clippings sent to her by Chelsea Manning.,"30 kautta muotokuvataiteilija Heather Dewey - Hagborg Swabs poskista ja hiukset clippings, lähetti Chelsea Manning.","Nämä 30 teosta ovat taiteilija Heather Dewey-Hagborgin tekemiä muotokuvia, jotka perustuvat Chelsea Manningin poskesta ja hiuksista otettuihin DNA-näytteisiin."
"""Our customers include the world's largest telecom operators, game developers, banks and even a few central banks"", Paqvalén says.","""Asiakkaamme ovat maailman suurimmat teleoperaattorit, pelinkehittäjät, pankit ja jopa muutama keskuspankkia"", Paqvalén kertoo.","""Asiakkaidemme joukossa on maailman suurimpia teleoperaattoreita, peliyrityksiä, pankkeja ja jopa jokunen keskuspankki"", Paqvalén listaa."
But it signalled rate hikes will be needed over the next few years to rein in Brexit-fuelled inflation and said borrowing costs may need to rise by more than expected in financial markets.,"Mutta se viestitti koronnostot tarvitaan lähivuosina, Brexit - ruokkivat inflaation ja sanoi lainakulut voivat nousta odotettua enemmän rahoitusmarkkinoilla.","Pankin mukaan koronnostoja kuitenkin tarvitaan lähivuosina hillitsemään Brexitin vauhdittamaa inflaatiota. Lisäksi pankki ilmoitti, että lainakustannuksia voidaan joutua korottamaan rahoitusmarkkinoilla odotettua enemmän."
Lampenius has previously posted photos from her past and also talked about difficult subjects.,Lampenius on aikaisemmin lähetettyjä kuvia menneestä ja puhunut myös vaikeissa asioissa.,Lampenius on aiemminkin julkaissut kuvia menneisyydestään ja puhunut myös kipeistä aiheista.
"On that day on 11 February 2015, Auer walked out of the meeting and smashed a TV in the waiting room of the transgender department.",Tuona päivänä 11. helmikuuta 2015 Auer poistui kokouksesta ja tuhosivat tv - odotushuoneessa on transsukupuolisten osastolla.,Silloin 11. helmikuuta 2015 ­Auer käveli ulos tapaamisesta ja potkaisi transpolin odotusaulan television hajalle.
Her voice breaks on every other word.,Hänen ääntään katkoja joka toinen sana.,Hänen äänensä särkyy joka toisen sanan kohdalla.
Eilidh Doyle recalls a time when only two Scots made the GB team,Eilidh Doyle muistuttaa kun vain kaksi skotlantilaista teki GB - joukkue,"Eilidh Doyle muistaa ajan, jolloin vain kaksi skottia pääsi Ison-Britannian maajoukkueeseen"
"And the results will be presented to the International Olympic Committee [IOC] and WADA in the near future,"" he added.","Ja tulokset esitellään kansainvälisen olympiakomitean (KOK) ja WADA lähiaikoina "", hän lisäsi.","Tulokset esitellään Kansainväliselle olympiakomitealle ja WADAlle lähitulevaisuudessa”, Mutko lisäsi."
As for my captain's speech?,Mitä kapteeni puhe?,Kapteenin puheeni?
Papuans rarely have the capital or the necessary skills to run their own businesses competitively.,"Papualaiset ovat harvoin tarvittavia taitoja, tai pääomaa yritystään pyörittävä kilpailukykyisesti.",Vain harvalla papualaisella on riittävästi pääomaa ja osaamista pyörittää omaa yritystä kilpailukykyisesti.
Such drugs can be taken every day or as soon as two hours before having sex.,Tällaisia lääkkeitä voidaan ottaa päivittäin tai heti kun kaksi tuntia ennen seksiä.,Lääkettä voi ottaa päivittäin tai kaksi tuntia ennen seksiä.
GMB concern over investment at McVitie's Glasgow factory,GMB huolissaan investointien McVitie 's Glasgow' n tehtaalla,GMB on huolissaan McVitie’s-brändin Skotlannin tehtaan toiminnan jatkumisesta
In that moment I felt chills.,Sillä hetkellä tunsin - chills.,Silloin tunsin kylmiä väreitä.
"Now, the amendments are again at a standstill",Nyt muutokset ovat jälleen pysähtynyt,Nyt lakimuutos on jälleen jumissa.
"People are divided: for some, this is an indication of extreme stinginess, some do not want to pay for the parts that they will not use and that they would throw away anyway.","Ihmiset jakautuvat kahtia: Toisille se on osoitus äärimmäisestä saituus, jotkut eivät halua maksaa ne osat, joita ei käytetä ja että ne heitetään pois.","Vastaukset jakavat mielipiteet voimakkaasti: yksille se on osoitus äärimmilleen viedystä nuukuudesta, toiset taas eivät halua maksaa vihannesten niistä osista, joita eivät käytä ja jotka kuitenkin menevät kotona roskikseen."
Patients will be able to access a 'transformative' HIV prevention treatment from September following a High Court battle over funding the drug on the NHS.,"Potilas voi tutustua ""muuntautumiskykyinen"" HIV - hoidon jälkeen syyskuussa korkein oikeus huumetaistelu rahoitusta NHS.","Syyskuusta alkaen potilaille voidaan määrätä ”käänteentekevää” HIV-estolääkettä. Korkeimmassa oikeudessa saatiin päätökseen kiista, joka koski lääkkeen rahoitusta Englannin julkisessa terveydenhuoltojärjestelmässä (NHS)."
"""People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state.""","""Ihmisen täytyy olla valmis, onko tuo takuurahat mukanaan, tai että sukulaiset tiesivät traveling through"".","”Ihmisten on valmistauduttava esimerkiksi ottamalla mukaan rahaa takuiden maksamista varten tai kertomalla sukulaisille, että aikovat matkustaa osavaltion läpi.”"
"""The young people are not interested to stay in the village ... because there's no jobs or money here,"" says John Gobai, the chairman of the tribal council of Paniai.","""Nuoret eivät ole kiinnostuneita jäämään kylään... koska ei ole työpaikkaa tai rahaa"", sanoo John Gobbi, heimoneuvoston puheenjohtaja Panii.","”Nuoret eivät halua jäädä kylään, koska täällä ei ole töitä eikä rahaa”, sanoo Paniain heimoneuvoston puheenjohtaja John Gobai."
"The former manager, Zaccheo Giovanni Pamio, is Italian, and therefore is not protected from extradition and could face trial in the United States.","Entinen päällikkö ZACCHEO Giovanni Pammio on italialainen, ja siksi ei voi suojata ja luovutusoikeudenkäyntiä Yhdysvalloissa.","Zaccheo Giovanni Pamio on italialainen, joten hänet voidaan luovuttaa Yhdysvaltoihin mahdollista oikeudenkäyntiä varten."
"According to the suspects, their intention was to plant the bomb on the plane on 15 July, but their attempt failed before the security checkpoint.","Epäiltyjen mukaan heidän tarkoituksenaan oli tehtaan pommikoneesta 15. heinäkuuta, mutta yritys epäonnistui ennen turvatarkastuspisteellä.","Epäilyjen mukaan pommi oli tarkoitus viedä lentokoneeseen 15. heinäkuuta, mutta yritys keskeytyi ennen turvatarkastusta."
"As licence fees go higher year after year, customers will eventually switch to an open source database.",Kuten lisenssimaksuja ja asiakkaat vuosi vuoden jälkeen lopulta siirtyä avoimen lähdekoodin tietokanta.,"Kun lisenssimaksut nousevat joka vuosi, asiakas siirtyy ennemmin tai myöhemmin avoimen lähdekoodin tietokantaan."
"Kilju is prepared through fermentation, while moonshine is made by means of distillation.","Kilju on valmis läpikäyminen, kun taas Moonshine on valmistettu tislaamalla.","Kilju valmistetaan käymisteitse, pontikka taas tislaamalla."
"Kelly told the staff that information needed to flow through him - whether on paper or in briefings - because the president would make better decisions if given good information.""","Kelly kertoi, että henkilötiedot, joita tarvitaan virtaa hänen kauttaan - tai paperilla tiedotustilaisuudet - koska mies tekisi parempia päätöksiä, jos antaa hyvää tietoa "".","Kelly kertoi Valkoisen talon työntekijöille, että kaikkien tietojen – niin painettujen kuin tiedotustilaisuuksissa kuultujenkin – on kuljettava hänen kauttaan, koska presidentti tekee parempia päätöksiä, kun saa hyvää tietoa.”"
"He has teamed up with Dr Geoff Watson, a consultant anesthetist at the Royal Hampshire County Hospital in Winchester, Hants, to ensure the implant procedure is carried out to a medical standard.","Hän on liittoutuivat tohtori Geoff Watsonin kanssa, konsultti anesthetiost Royal Hampshire County sairaalassa Winchester Hotit, implantti on tehty lääketieteelliseen standardiin.","Northam tekee yhteistyötä Winchesterissä Hantsissa sijaitsevan Royal Hampshiren kreivikunnan sairaalan konsultoivan nukutuslääkärin Geoff Watsonin kanssa, jotta mikrosirun asennus täyttää lääketieteen vaatimukset."
Sydney Morning Herald reports that one of the leaders of Isis had also sent parts of a bomb to Sydney.,"Sydney Morning Herald kertoo, että yksi johtajista Isis oli myös lähettänyt pommi osissa Sydneyssä.",Isisin johtohahmoihin kuuluva henkilö oli Sydney Morning Heraldin mukaan lähettänyt Sydneyyn myös pommin rakennusosia.
Yamane says that the fugitive has a quiet and kind nature.,"Jae sanoo, että karkuri on hiljainen ja ystävällinen luonne.",Yamane kuvailee karkuria hiljaiseksi ja lempeäksi.
Tommi from Vantaa says it was a miracle that their family survived the car accident on Tuesday.,"Tommi Vantaalta kertoo, että heidän perheessään oli ihmeselviytyi auto - onnettomuudessa tiistaina.",Vantaalainen Tommi kertoo hänen perheensä selvinneen tiistaina ihmeen kaupalla auto-onnettomuudessa.
The numbers have increased this time and a horse has even been seen grazing on the parkland.',"Luvut ovat kasvaneet ja tällä kertaa hevonen on edes nähty laiduntaminen parkland "".","”Heitä on aiempaa enemmän, ja he ovat jopa laskeneet hevosen laiduntamaan puistoon.”"
"It was annoying, as it took a lot of time training and preparation.""","Se jäi harmittamaan, sillä se vei paljon aikaa harjoitteluun ja valmisteluun "".","Se ärsytti, sillä valmistautuminen ja treeni vei paljon aikaa."
People are often uncertain of what liquids they can carry or how much of them.,"Ihmiset ovat usein epävarmoja siitä, mitä he voivat kuljettaa nesteitä tai kuinka paljon niistä.","Matkustajat eivät useinkaan tiedä, mitä nesteitä lentokoneeseen saa viedä ja kuinka paljon."
"Without information on the killers, without justice, the meeting to discuss security, says Ibarra, is of little use.","Ilman tietoa, ilman lääkkeitä, kokoukseen keskustelemaan turvallisuuteen, kertoo Ibarra, on vain vähän hyötyä.","Ibarran mukaan turvallisuuskokouksesta on vain vähän hyötyä, koska tappajat eivät ole tiedossa eikä ole toivoa oikeudesta."
She is in the negotiation team of parliamentary groups of parties represented in the Government that discussed the reform of the Alcohol Act.,Hän on joukkueen neuvottelevien puolueiden eduskuntaryhmien edustajat keskustelivat hallitusta uudistamaan alkoholilakiin.,"Hän on hallituspuolueiden eduskuntaryhmien neuvotteluporukassa, joka otti kantaa alkoholilain uudistukseen."
Interpol distributed the list to the security authorities of all European countries in May.,Interpol jakanut lista kaikkien EU - maiden turvallisuusviranomaisille toukokuussa.,Lista jaettiin Interpolin toimesta kaikille Euroopan maiden turvallisuusviranomaisille toukokuussa.
"Michael Phelan, a deputy commissioner of the Australian Federal Police, says that this was one of the most professional plans ever witnessed in Australia.","Michael Phelan, varavaltuutettu Australian liittovaltion poliisi kertoo, että tämä oli yksi kaikkein aikojen ammattilaissuunnitelmia Australiassa.","Australian liittovaltion apulaiskomissaari Michael Phelan sanoo, että terroristien suunnitelma oli yksi ammattimaisimmista suunnitelmista, mitä Australiassa on koskaan tehty."
"Nicholas Haysom, acting head of the U.N. Assistance Mission said hundreds of women are running in provincial council elections, three women are running for vice president and more than 30 percent of the newly-registered voters are women.","Nicholas Haysom toimii, päällikkö sanoi YK:n avustusoperaatiota sadat naiset juoksivat maakuntavaltuuston vaaleissa on kolme naista varapresidentiksi ja yli 30 prosenttia uusista äänioikeutetuista on naisia.","YK:n avustuslähetystön väliaikainen johtaja Nicholas Haysom totesi, että maakuntaneuvostojen vaaleissa on ehdolla satoja naisia, kolme naista pyrkii varapresidentiksi ja yli 30 prosenttia hiljattain rekisteröityneistä äänestäjistä on naisia."
"Americans loved George Washington, but it didn't take long for newspapers to start slamming him on everything from domestic policy to his political principles.","Amerikkalaiset rakasti George Washington, mutta sitä ei kauan lehdet alkavat lyödä häntä kaikesta kotimaisesta politiikasta poliittiset periaatteet.","Amerikkalaiset rakastivat George Washingtonia, mutta sanomalehdet alkoivat pian arvostella häntä kaikesta mahdollisesta kotimaan politiikasta aina hänen poliittisiin periaatteisiinsa."
He emphasised that all money borrowed is something our children have to pay back.,"Hän korosti, että kaikki raha on lainattu lapsemme joutuvat maksamaan takaisin.","Virtanen korosti, että kaikki velka on velkaa lapsilta."
Those present also gave excellent advice to divers.,Paikalla olijat antoivat myös erinomaisia neuvoja sukeltajalle.,Paikallaolijat opastivat myös sukeltajia erinomaisesti.
What's unique about this one is that it's a garage-style lift-up door.,"Mikä on ainutlaatuista tässä on se, että talli - tyyli - hissin ovea.","mutta Joannen keittiössä on ainutlaatuista se, että ovi nostetaan ylös samalla tavalla kuin autotallin ovi."
"Currently, each person about to change their gender is required to have a psychiatric diagnosis and a certificate of their inability to reproduce.",Tällä hetkellä jokainen ihminen muuttaa sukupuoltaan ei tarvitse olla psykiatrista diagnoosia ja todistuksen lisääntymiskyvyttömyydestä.,Tällä hetkellä jokaiselta sukupuoltaan korjaavalta vaaditaan psykiatrista diagnoosia ja todistusta lisääntymiskyvyttömyydestä.
"It is expected that there will be different requirement levels, depending on whether an employee is an investment advisor or a seller of investment products.","Odotettavissa on, että tulee erilaisia vaatimuksia, riippuen siitä, missä työntekijä on sijoitusneuvojana tai myyjäisiä sijoitustuotteita.","Tähän tulee varmasti eri vaatimustasoja riippuen siitä, onko kyse sijoitusneuvonnasta vai tuotteiden myynnistä."
"In its press release issued on Thursday, the Royal Court announced that Prince Henrik does not want to be buried in the Roskilde Cathedral.","Antamassaan tiedotteessa torstaina kuninkaallinen hovi ilmoitti, että prinssi Henrik ei halua olla haudattuna Roskilden katedraaliin.","Kuningashuone on tänään ilmoittanut, että prinssi Henrik ei halua tulla haudatuksi Roskilden tuomiokirkkoon, hovi toteaa tiedotteessaan torstaina."
or they become harmful rather than useful.,Tai ne ovat haitallisia kuin hyödyllisiä.,Muuten niistä on helposti enemmän haittaa kuin hyötyä.
The two men who piloted the plane may be indicted for negligent homicide.,"Kaksi miestä, jotka luotsaama kone saattaa huolimattomasti syytetään kuolemantuottamuksesta.",Konetta lentäneet kaksi miestä voivat saada syytteen kuolemantuottamuksesta.
